,person_id,id,name,role
7223,110963,tm125870,David Maysles,DIRECTOR
7250,106013,tm102441,Yasujirō Ozu,DIRECTOR
7276,14167,tm19269,Stanley Donen,DIRECTOR
7323,23732,tm120889,Ingmar Bergman,DIRECTOR
7352,43895,tm51473,Jean-Luc Godard,DIRECTOR
7395,35387,tm114183,Nicholas Ray,DIRECTOR
7432,24141,tm156809,Sam Peckinpah,DIRECTOR
7537,7035,tm1398,Richard Attenborough,DIRECTOR
7600,29799,tm65430,Akira Kurosawa,DIRECTOR
7625,12074,tm38826,François Truffaut,DIRECTOR
7667,29799,tm119925,Akira Kurosawa,DIRECTOR
7713,16857,tm188330,Richard Lester,DIRECTOR
7749,8864,tm125076,Peter Weir,DIRECTOR
7783,102947,tm184314,Jacques Demy,DIRECTOR
7840,29799,tm81379,Akira Kurosawa,DIRECTOR
7866,120504,tm11359,Herk Harvey,DIRECTOR
7899,35197,tm108804,John Cassavetes,DIRECTOR
7919,3308,tm113786,Martin Scorsese,DIRECTOR
7935,34085,tm103236,Henri-Georges Clouzot,DIRECTOR
7963,18828,tm101146,Alan Parker,DIRECTOR
7979,453054,tm51726,Georges Franju,DIRECTOR
8018,106013,tm39446,Yasujirō Ozu,DIRECTOR
8332,36599,tm101272,Michael Anderson,DIRECTOR
8340,205735,tm31325,Peter Brook,DIRECTOR
8361,20917,tm90487,Elaine May,DIRECTOR
8383,26894,tm1390,Frank Pierson,DIRECTOR
8427,29799,tm127957,Akira Kurosawa,DIRECTOR
8445,28852,tm129542,Vincente Minnelli,DIRECTOR
8458,15802,tm114067,David Lean,DIRECTOR
8490,22088,tm75792,Ted Kotcheff,DIRECTOR
8507,40191,tm133889,Jacques Tati,DIRECTOR
8541,34590,tm133505,Louis Malle,DIRECTOR
8585,19274,tm12133,Gordon Parks,DIRECTOR
8607,48338,tm120702,Luis Buñuel,DIRECTOR
8638,88910,tm129340,Irvin S. Yeaworth Jr.,DIRECTOR
8659,15246,tm187009,Orson Welles,DIRECTOR
8679,28422,tm190423,Ted Post,DIRECTOR
8710,33227,tm18047,Ishirō Honda,DIRECTOR
8730,13439,tm489,George Cukor,DIRECTOR
8792,73046,tm14909,James Fargo,DIRECTOR
8849,16857,tm127965,Richard Lester,DIRECTOR
8874,106013,tm10274,Yasujirō Ozu,DIRECTOR
